Question,Answer
x/3 - 5 = 7,36
26 = 4x - 6,8
x/3 - 1 = 5,18
8 = x/6 - 3,66
4 = 5x - 6,2
4 = x/3 - 1,15
15 = 6x - 3,3
4x - 5 = 23,7
x/6 - 5 = 4,54
7 + 5x = 27,4
16 = 4x - 8,6
x/3 + 1 = 9,24
29 = 6x + 5,4
6 = x/5 + 2,20
26 = 6x + 8,3
7 = x/6 - 7,84
x/4 + 7 = 14,28
3x + 4 = 19,5
x/3 - 8 = 6,42
3x + 6 = 12,2
22 = 4x + 6,4
2 = x/3 - 8,30
17 = 4x - 3,5
3x + 4 = 12,3
6 = x/5 + 2,20
32 = 4x + 4,7
2 + 8x = 66,8
x/3 - 1 = 2,9
4 = 3x - 2,2
10 = x/6 + 4,36
6x + 3 = 39,6
3 + 4x = 19,4
11 = x/8 + 4,56
8 = x/8 + 4,32
56 = 7x + 7,7
26 = 2 + 8x,3
x/3 + 3 = 9,18
14 = 2 + 6x,2
63 = 7 + 7x,8
10 = x/5 + 4,30
8 = x/3 - 7,45
7= x/4 - 3,40
3 + 6x = 33,5
5x + 4 = 19,3
30 = 6x - 6,6
57 = 8x - 7,8
4x + 3 = 11,2
x/5 - 3 = 7,50
x/4 - 3 = 3,24
3 = x/4 - 1,16
